date,income_rel,consumer_price_rel,house_price_rel,cpp_index_1991q1_100,ha_index_1991q1_100,x_c,x_h,divergence_xc_minus_xh,delta_x_c,delta_x_h,qa_real_dpi_relative_error,qa_real_pce_relative_error
1997-07-01,1.290005711022273,1.1517270677428841,1.183,112.00619896434168,109.04528411008224,0.1133840316712727,0.08659306051657989,0.02679097115469281,0.008456751523674894,0.003873702049384198,3.203133938234348e-05,9.537239970081046e-05
1997-10-01,1.3090805254140492,1.1553544001830005,1.1957,113.30553856086925,109.48235555858905,0.1249178648834691,0.09059321383334984,0.03432465105011927,0.011533833212196407,0.00400015331676995,3.96513583598157e-05,4.0292396276009335e-05
1998-01-01,1.3335808109651628,1.1554360968595798,1.2106000000000001,115.4179633637699,110.15866603049417,0.14338981770298603,0.09675155897712776,0.04663825872585828,0.018471952819516926,0.006158345143777916,2.7880855957618245e-05,4.1796455961584655e-05
1998-04-01,1.3509994288977727,1.1575275317800073,1.2273,116.71423718278655,110.07898874747598,0.15455834400195345,0.09602800163109,0.05853034237086345,0.011168526298967418,-0.0007235573460377537,6.15901660409035e-05,0.00010066138423725501
1998-07-01,1.364363221016562,1.161105846214176,1.2433,117.50549921569282,109.73724933777542,0.16131494833663412,0.09291868006320275,0.06839626827343137,0.0067566043346806715,-0.0031093215678872493,7.961317005100721e-05,0.0001013549326926988
1998-10-01,1.3740719588806396,1.164161301918238,1.2637,118.03106293058556,108.73403172276961,0.16577764900909595,0.08373463846627426,0.08204301054282169,0.004462700672461822,-0.009184041596928497,6.848762427746902e-05,9.027062165156696e-05
1999-01-01,1.3879497430039978,1.1664651481977713,1.2821,118.9876735835981,108.25596622759517,0.17384971842720584,0.07932829464218544,0.0945214237850204,0.008072069418109895,-0.004406343824088818,7.715046945466764e-05,0.00011191107902708275
1999-04-01,1.3929754426042262,1.1730989183360023,1.301,118.74322112410695,107.06959589578989,0.1717931700265549,0.06830886596921062,0.10348430405734427,-0.0020565484006509482,-0.011019428672974813,7.548009986757531e-05,0.000119827848152676
1999-07-01,1.406053683609366,1.1795529557857587,1.3211000000000002,119.20225172703024,106.43052634996334,0.175651458792173,0.06232225155637544,0.11332920723579756,0.003858288765618112,-0.005986614412835184,9.487146030562332e-05,0.00013683757185944945
1999-10-01,1.4286122215876642,1.1867095846540965,1.3407,120.38431643779785,106.55718815452109,0.18551907625724323,0.06351163301702945,0.12200744324021379,0.009867617465070228,0.0011893814606540043,0.00011749019177942355,0.00012552615683736335
2000-01-01,1.461679040548258,1.1963497924904414,1.3644,122.17823329960052,107.12980361684681,0.20031072131232563,0.06887103115528989,0.13143969015703574,0.014791645055082403,0.005359398138260446,8.030931358460336e-05,0.00010907324158715426
2000-04-01,1.4823529411764707,1.2020522205156694,1.3874000000000002,123.31851444361999,106.84394847747372,0.20960037060326195,0.0661991584920975,0.14340121211116447,0.009289649290936314,-0.0026718726631923956,7.29230722231744e-05,0.0001081626758747678
2000-07-01,1.5074814391776128,1.2097970654553774,1.4091,124.60614116386411,106.9818635425174,0.2199877061801026,0.06748913450449255,0.15249857167561004,0.010387335576840656,0.0012899760123950554,8.927756481880156e-05,6.545495961707282e-05
